Commodity_ID,Policy_ID,CPL_ID,Country_Name,Subnational_Name,CommodityDomain_Name,PolicyDomain_Name,PolicyType_Name,PolicyMeasure_Name,Condition,IndividualPolicy_Name,Policy_Element,CommodityClass_Name,HS_Code,HS_Version,Description,Short_Description,Shared_Group_Code,Second_Generation_Specific,Start_Date,End_Date,Imposed_End_Date,Units,Value,Value_Text,Value_Type,Exemptions,Notes,Measure_Description,Link,Link_pdf,Source,Date_Of_Publication,Title_Of_Notice,Legal_Basis_Name,Benchmark_Tax,Benchmark_Product,Tax_Rate_Biofuel,Tax_Rate_Benchmark,Start_Date_Tax,Benchmark_Link,Benchmark_Link_pdf,Product_Original_HS,Product_Original_Name,Type_Of_Change_Name,Original_Dataset,CommodityDomain_Code,PolicyDomain_Code,country_code,Subnational_Code,PolicyType_Code,PolicyMeasure_Code,Condition_Code,IndividualPolicy_Code,Type_Of_Change_Code,Element_Code,CommodityClass_Code,Metadata_ID,MinAVTariffValue,maxavtariffvalue,CountAVTariff,CountNAVTariff
"1","10727","1983","Russian Federation","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100110","HS2007","Wheat and meslin. - Durum wheat.","Durum wheat","","","2007-11-10","2008-01-31","Yes","","","","Observed","Kazakhstan, Belarus","","","http://www.szrf.ru/doc.phtml?nb=edition00&issid=2007042000&docid=102","www.szrf.rudoc.phtmlnb=edition00&issid=2007042000&docid=102.pdf","Government of the Russian Federation","2007-10-10","Resolution of the Government of the Russian Federation, 10 October 2007, #660, on approving the rates of export customs duties for wheat, meslin and barley exported outside of the States participants of the Customs Union agreements","","","","","","","","","100110","Wheat","Introduction","OECD Export Restrictions","1","1","204","99","1","4","105","999","5.0","99","1","POLICY_204_99_1_1_1_1_4_0","","","",""
"1","16387","1983","Russian Federation","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100110","HS2007","Wheat and meslin. - Durum wheat.","Durum wheat","","","2008-02-01","2008-04-30","Yes","","","","Observed","Kazakhstan, Belarus","","","http://www.szrf.ru/doc.phtml?nb=edition00&issid=2008014000&docid=65","www.garant.ru_hotlaw_federal_168568.pdf; szrf.ru65.pdf","Government of the Russian Federation","2007-12-28","Order of the Government of the Russian Federation, 28 December 2007 #934, on changing the decree of the Government of the RF, 10 October 2007, #660 ","","","","","","","","","100110","Wheat","n.a.","OECD Export Restrictions","1","1","204","99","1","4","105","999","6.0","99","1","POLICY_204_99_1_1_1_1_4_0","","","",""
"1","16388","1983","Russian Federation","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100110","HS2007","Wheat and meslin. - Durum wheat.","Durum wheat","","","2008-05-01","2008-06-30","","","","","Observed","Kazakhstan, Belarus","","","http://www.szrf.ru/doc.phtml?nb=edition00&issid=2007042000&docid=102","base.garant.ru_12159585.pdf","Government of the Russian Federation","2008-03-29","Order of the Government of the Russian Federation, 29 March 2008 #225, on prolongation of validity of the export duties for wheat, meslin and barley","","","","","","","","","100110","Wheat","n.a.","OECD Export Restrictions","1","1","204","99","1","4","105","999","6.0","99","1","POLICY_204_99_1_1_1_1_4_0","","","",""
"2","906","181","Australia","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2003-01-01","2012-12-09","","AUD/tonne","0.22","0.22","Observed","Other than wheat in bags or containers","Non-bulk export of wheat (in bags and containers) was deregulated in August 2007;  Wheat Export Marketing Amendment Act 2012 abolishes the wheat export charge","An export charge of AUD0.22 per tonne is payable for all Australian wheat exports (both bulk and non-bulk).","https://www.comlaw.gov.au/Details/C2004A01163/Html/Text#param5","Wheat Marketing Amendment Act 2003.pdf","Australian Government","2003-07-22","Wheat Marketing Amendment Act 2003, No. 78, 2003","Wheat Marketing Act 1989","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Introduction","OECD Export Restrictions","1","1","17","99","1","4","105","999","5.0","99","1","POLICY_17_99_1_1_1_1_4_0","","","",""
"2","16433","2420","Ukraine","n.a.","Agricultural","Trade","Export measures","Licensing requirement","n.a.","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2014-04-26","","","","","","Observed","","On grain and grain market in Ukraine","Export operations with grain and products of its processing are conducted in the presence of the certificate of quality of grain and products of its processing","http://zakon2.rada.gov.ua/laws/show/1193-18/print1421153191621307","print1421153191621307.pdf","Government of Ukraine","2014-04-25","Law of Ukraine, 9 April 2014 #1193-VII, on amendments to some legislative acts of Ukraine on reducing the number of permits","","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Elimination","OECD Export Restrictions","1","1","254","99","1","5","105","999","2.0","99","1","POLICY_254_99_1_1_1_1_5_0","","","",""
"2","892","174","Australia","n.a.","Agricultural","Trade","Export measures","Licensing requirement","Wheat exporter","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2008-06-30","2012-12-09","","","","","Observed","Other than wheat in bags or containers","Non-bulk export of wheat (in bags and containers) was deregulated in August 
2007","Exporters of wheat must be accredited under the wheat export accreditation scheme. Wheat Exports Australia (WEA) will administer the wheat export accreditation scheme.","http://www.comlaw.gov.au/Details/C2008A00065","C2008A00065.pdf","Australian Government","2008-06-30","Wheat Export Marketing Act 2008, No. 65 2008","Wheat Export Marketing Act 2008, No. 65 2008","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Introduction","OECD Export Restrictions","1","1","17","99","1","5","205","999","5.0","99","1","POLICY_17_99_1_1_1_1_5_1","","","",""
"2","12656","2525","Ukraine","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2011-07-01","2011-07-10","","","","","Observed","","The export tax was originally planned to last until end of December 2011, but was abolished earlier, namely on 7 October 2011. ","","http://zakon4.rada.gov.ua/laws/show/3387-17/ed20110519","zakon4.rada.gov.ua_laws_show_3387-17_ed20110519.pdf","Government of Ukraine","2011-05-19","The law of Ukraine, 19 May 2011 #3387-VI","","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Introduction","OECD Export Restrictions","1","1","254","99","1","4","105","999","5.0","99","1","POLICY_254_99_1_1_1_1_4_0","","","",""
"2","907","181","Australia","n.a.","Agricultural","Trade","Export measures","Export tax","n.a.","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2012-12-10","","","","","","Observed","Other than wheat in bags or containers","","The Act removed the Wheat Export Charge and the Wheat Export Accreditation Scheme on 10 December 2012, and abolished Wheat Exports Australia on 31 December 2012.","http://www.comlaw.gov.au/Details/C2012A00170","C2012A00170.pdf","Australian Government","2012-12-03","Wheat Export Marketing Amendment Act 2012, No. 170, 2012","Wheat Marketing Act 1989","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Elimination","OECD Export Restrictions","1","1","17","99","1","4","105","999","2.0","99","1","POLICY_17_99_1_1_1_1_4_0","","","",""
"2","8872","3561","Kazakhstan","n.a.","Agricultural","Trade","Export measures","Licensing requirement","Quarantine phytosanitary control at customs border of the Customs Union is implemented","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2010-07-01","","","","","","Observed","","","Quarantine phytosanitary control at customs border of the Customs Union is implemented","http://adilet.zan.kz/rus/archive/docs/H10T0000318/16.08.2013","adilet.zan.kz_rus_archive_docs_H10T0000318_16.08.2013.pdf","Customs Union Commission","2010-06-18","The decision of the Customs Union Commission, 18 June 2010 #318, about maintenance of quarantine of plants in the Customs Union","","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Introduction","OECD Export Restrictions","1","1","132","99","1","5","363","999","5.0","99","1","POLICY_132_99_1_1_1_1_5_1","","","",""
"2","893","174","Australia","n.a.","Agricultural","Trade","Export measures","Licensing requirement","Wheat exporter","n.a.","n.a.","Wheat","100111","HS2012","Wheat and meslin. - Durum wheat : -- Seed.","Durum wheat seed for sowing","","","2012-12-10","","","","","","Observed","Other than wheat in bags or containers","Non-bulk export of wheat (in bags and containers) was deregulated in August 
2007","The Act removed the Wheat Export Charge and the Wheat Export Accreditation Scheme on 10 December 2012, and abolished Wheat Exports Australia on 31 December 2012.","http://www.comlaw.gov.au/Details/C2012A00170","C2012A00170.pdf","Australian Government","2012-12-03","Wheat Export Marketing Amendment Act 2012, No. 170, 2012","Wheat Export Marketing Amendment Act 2012, No. 170, 2012","","","","","","","","100111","Wheat and meslin. - Durum wheat : -- Seed.","Elimination","OECD Export Restrictions","1","1","17","99","1","5","205","999","2.0","99","1","POLICY_17_99_1_1_1_1_5_1","","","",""
