Commodity_ID,Country_Name,HS_Code,HS_Suffix,HS_Version,Description,Short_Description,CommodityClass_Name,CommodityClass_Code,shared_group_code,Country_Code
"167","Argentina","","","","Biodiesel","Biodiesel","Biodiesel","6","","12"
"168","Argentina","","","","Bioethanol","Bioethanol","Ethanol","5","","12"
"214","Australia","","","","Biodiesel","Biodiesel","Biodiesel","6","","17"
"215","Australia","","","","Ethanol","Ethanol","Ethanol","5","","17"
"318","Brazil","","","","Biodiesel","Biodiesel","Biodiesel","6","","37"
"321","Brazil","","","","Ethanol","Ethanol","Ethanol","5","","37"
"486","Canada","","","","Biodiesel","Biodiesel","Biodiesel","6","","46"
"487","Canada","","","","Biodiesel, B100. Oxygenated ester- or ether-based fuel derived from vegetable oils or animal fats","Biodiesel, B100","Biodiesel","6","","46"
"488","Canada","","","","Cellulosic ethanol","Cellulosic ethanol","Ethanol","5","","46"
"490","Canada","","","","Ethanol","Ethanol","Ethanol","5","","46"
"491","Canada","","","","Ethanol 1st generation","Ethanol 1st generation","Ethanol","5","","46"
"492","Canada","","","","Ethanol 2nd generation","Ethanol 2nd generation","Ethanol","5","","46"
"493","Canada","","","","Renewable diesel","Renewable diesel","Biodiesel","6","","46"
"614","China","","","","Biodiesel. (i) Waste animal oil and vegetable oil shall account for at least 70% of the raw production materials; (ii) The pure biodiesel produced shall meet the national standards of the 'Biodiesel Blend Stock (BD 100) for Diesel Engine Fuels'.","Biodiesel","Biodiesel","6","","53"
"617","China","","","","Ethanol","Ethanol","Ethanol","5","","53"
"618","China","","","","Grain-based ethanol","Grain-based ethanol","Ethanol","5","","53"
"937","European Union","","","","Biodiesel","Biodiesel","Biodiesel","6","","999000"
"938","European Union","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","999000"
"945","European Union","","","","Ethanol","Ethanol","Ethanol","5","","999000"
"960","France","","","","Biodiesel","Biodiesel","Biodiesel","6","","85"
"961","France","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","85"
"962","France","","","","Ethanol","Ethanol","Ethanol","5","","85"
"963","Germany","","","","Biodiesel","Biodiesel","Biodiesel","6","","93"
"965","Germany","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","93"
"966","Germany","","","","Ethanol, E70 and higher blends","Ethanol, E70 and higher blends","Ethanol","5","","93"
"1032","India","","","","Biodiesel","Biodiesel","Biodiesel","6","","115"
"1033","India","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","115"
"1035","India","","","","Ethanol","Ethanol","Ethanol","5","","115"
"1101","Indonesia","","","","Biodiesel","Biodiesel","Biodiesel","6","","116"
"1102","Indonesia","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","116"
"1103","Indonesia","","","","Ethanol","Ethanol","Ethanol","5","","116"
"1106","Italy","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","122"
"1205","Japan","","","","Ethanol","Ethanol","Ethanol","5","","126"
"1206","Japan","","","","Ethanol, E3 up to E10","Ethanol, E3 up to E10","Ethanol","5","","126"
"1210","Kazakhstan","","","","Bioethanol - ethanol produced from plant material used as a biofuel, subjected to denaturation","Ethanol","Ethanol","5","","132"
"1211","Kazakhstan","","","","Biofuel","Biofuel","Biofuel (unspecified)","7","","132"
"1261","Mexico","","","","Ethanol","Ethanol","Ethanol","5","","162"
"1311","Nigeria","","","","Ethanol","Ethanol","Ethanol","5","","182"
"1375","Philippines","","","","Biodiesel - Fatty Acid Methyl Ester (FAME) or mono-alkyl ester delivered from vegetable oil, or animal fats and other biomass-derived oils that shall be technically proven and approved by the DOE for use in diesel engines, with quality specifications in a","Biodiesel","Biodiesel","6","","196"
"1376","Philippines","","","","Bioethanol fuel - ethanol (C2H30H) produced from feedstock and other biomass","Ethanol","Ethanol","5","","196"
