Commodity_ID,Policy_ID,CPL_ID,Country_Name,Subnational_Name,CommodityDomain_Name,PolicyDomain_Name,PolicyType_Name,PolicyMeasure_Name,Condition,IndividualPolicy_Name,Policy_Element,CommodityClass_Name,HS_Code,HS_Version,Description,Short_Description,Shared_Group_Code,Second_Generation_Specific,Start_Date,End_Date,Imposed_End_Date,Units,Value,Value_Text,Value_Type,Exemptions,Notes,Measure_Description,Link,Link_pdf,Source,Date_Of_Publication,Title_Of_Notice,Legal_Basis_Name,Benchmark_Tax,Benchmark_Product,Tax_Rate_Biofuel,Tax_Rate_Benchmark,Start_Date_Tax,Benchmark_Link,Benchmark_Link_pdf,Product_Original_HS,Product_Original_Name,Type_Of_Change_Name,Original_Dataset,CommodityDomain_Code,PolicyDomain_Code,country_code,Subnational_Code,PolicyType_Code,PolicyMeasure_Code,Condition_Code,IndividualPolicy_Code,Type_Of_Change_Code,Element_Code,CommodityClass_Code,Metadata_ID,MinAVTariffValue,maxavtariffvalue,CountAVTariff,CountNAVTariff
"167","15869","137","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from large size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2013-12-15","2013-12-31","","ARS/tonne","4714.35","4714.35","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720; http://glp.se.gov.ar/biocom","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf; REPORTE DE PRECIOS BIODIESEL.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Extension","OECD Biofuels","2","2","12","99","10","45","22","999","3.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","15871","137","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from large size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2014-01-15","2014-01-31","","ARS/tonne","4902.93","4902.93","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720; http://glp.se.gov.ar/biocom","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf; REPORTE DE PRECIOS BIODIESEL.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Extension","OECD Biofuels","2","2","12","99","10","45","22","999","3.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","411","136","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2012-07-01","2012-07-31","","ARS/tonne","5195.79","5195.79","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Decrease","OECD Biofuels","2","2","12","99","10","45","105","999","1.0","99","6","POLICY_12_99_2_6_2_10_45_0","","","",""
"167","15849","134","Argentina","n.a.","Biofuels","Domestic","Biofuel targets","Mandatory blending requirements","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2014-01-09","2014-01-31","","%","9","9","Observed","","","","http://www.infoleg.gob.ar/infolegInternet/anexos/220000-224999/224799/norma.htm","Resol. 1125-13 mand. blending.pdf","Ministerio de Planificación Federal Inversión Pública y Servicios, Secretaría de Energía","2014-01-09","Resolución n 1125/2013","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm","","","","","","","","","Biodiesel","Increase","OECD Biofuels","2","2","12","99","8","35","105","999","4.0","99","6","POLICY_12_99_2_6_2_8_35_0","","","",""
"167","15890","137","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from large size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2014-11-01","2014-11-14","","ARS/tonne","5573","5573","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720; http://glp.se.gov.ar/biocom","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf; REPORTE DE PRECIOS BIODIESEL.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Increase","OECD Biofuels","2","2","12","99","10","45","22","999","4.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","15917","138","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from medium size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2014-03-01","2014-03-14","","ARS/tonne","7204.62","7204.62","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720; http://glp.se.gov.ar/biocom","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf; REPORTE DE PRECIOS BIODIESEL.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Increase","OECD Biofuels","2","2","12","99","10","45","23","999","4.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","15926","138","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from medium size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2014-07-15","2014-07-31","","ARS/tonne","7517","7517","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720; http://glp.se.gov.ar/biocom","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf; REPORTE DE PRECIOS BIODIESEL.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Extension","OECD Biofuels","2","2","12","99","10","45","23","999","3.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","418","137","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from large size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2012-12-15","2012-12-31","","ARS/tonne","4387.22","4387.22","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Decrease","OECD Biofuels","2","2","12","99","10","45","22","999","1.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","430","138","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from medium size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2012-12-01","2012-12-14","","ARS/tonne","5014","5014","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Decrease","OECD Biofuels","2","2","12","99","10","45","23","999","1.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
"167","424","137","Argentina","n.a.","Biofuels","Domestic","Domestic price regulation","Minimum reference price","Biodiesel produced from large size companies","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2013-03-15","2013-03-31","","ARS/tonne","4653.59","4653.59","Observed","","From August 7, 2012 prices determined by 'Unidad Ejecutiva Interdisciplinaria de Monitoreo' by Resolución Conjunta del MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS, DE INDUSTRIA Y DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS Nº 438/269/1001.","Biodiesel reference price. According to the Law 26.093 article 7, purchases of biofuels to the promoted companies (biofuel producers) by biofuel blenders will take place at the prices periodically determined by the corresponding authority.","http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm; http://www.energia.gob.ar/contenidos/verpagina.php?idpagina=3720","www.infoleg.gov.ar_infolegInternet_anexos_115000-119999_116299_norma.pdf; www.infoleg.gov.ar_infolegInternet_anexos_200000-204999_200589_norma.pdf; www.energia.gob.ar_contenidos_verpagina.php_idpagina=3720.pdf","Senado y Cámara de Diputados","2006-05-12","Ley 26.093 (2006), Resolución Conjunta 438/2012, 269/2012 y 1001/2012","Ley 26.093 (2006) from http://www.infoleg.gov.ar/infolegInternet/anexos/115000-119999/116299/norma.htm; Resolucion Conjunta 438/2012, 269/2012 y 1001/2012 from http://www.infoleg.gov.ar/infolegInternet/anexos/200000-204999/200589/norma.htm","","","","","","","","","Biodiesel","Extension","OECD Biofuels","2","2","12","99","10","45","22","999","3.0","99","6","POLICY_12_99_2_6_2_10_45_1","","","",""
