Commodity_ID,Country_Name,HS_Code,HS_Suffix,HS_Version,Description,Short_Description,CommodityClass_Name,CommodityClass_Code,shared_group_code,Country_Code
"212","Australia","38260010","","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Biodiesel, other than goods of 2710 or 3826.00.20","(-) Biodiesel, other than goods of 2710 or 3826.00.20","Biodiesel","6","","17"
"213","Australia","38260020","","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Mixtures of biodiesel and other substances, not being blends classified to 2710","(-) Mixtures of biodiesel and other substances, not being blends classified to 2710","Biodiesel","6","","17"
"486","Canada","","","","Biodiesel","Biodiesel","Biodiesel","6","","46"
"490","Canada","","","","Ethanol","Ethanol","Ethanol","5","","46"
"897","European Union","22071000","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol of an alcoholic strength of 80% vol or higher","Ethanol","5","","999000"
"898","European Union","22072000","","HS2012","Ethyl alcohol and Other spirits, denatured, of any strength","Ethyl alcohol and other spirits, denatured, of any strength","Ethanol","5","","999000"
"1032","India","","","","Biodiesel","Biodiesel","Biodiesel","6","","115"
"1035","India","","","","Ethanol","Ethanol","Ethanol","5","","115"
"1212","Kazakhstan","","","","Fuel produced from raw materials of biological origin","Biofuel","Biofuel (unspecified)","7","","132"
"2370","","220710","","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","Ethanol","5","",""
"2371","","220710","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%","Ethanol","5","",""
"2372","","220720","","HS2007","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Ethyl alcohol and other spirits, denatured, of any strength","Denatured ethyl alcohol and other spirits of any strength","Ethanol","5","",""
"2373","","220720","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher; ethyl alcohol and other spirits, denatured, of any strength - Ethyl alcohol and other spirits, denatured, of any strength","Denatured ethyl alcohol and other spirits of any strength","Ethanol","5","",""
"2374","","382600","","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals","Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum oils or oils obtained from bituminous minerals","Biodiesel","6","",""
"2377","China","2207100000","","HS2012","Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol. or higher","Undenatured ethyl alcohol of an alcoholic strength of 80% vol or higher","Ethanol","5","","53"
"2378","China","2207200010","","HS2007","Ethyl alcohol and Other spirits, denatured, of any strength. Modified ethanol","(-) Modified ethanol","Ethanol","5","","53"
"2379","China","2207200090","","HS2007","Ethyl alcohol and Other spirits, denatured, of any strength. All other types of alcohol","Ethyl alcohol and other spirits, denatured, of any strength","Ethanol","5","","53"
"2380","China","3824901000","","HS2007","Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included- Other---fusel oil","(-) Fusel oil","Biodiesel","6","","53"
"2381","China","3824903000","","HS2007","Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included- Other---Carburetant","Prepared binders for foundry moulds or cores.(-) Carburetant","Biodiesel","6","","53"
"2382","China","22072000","","HS2012","Ethyl alcohol and Other spirits, denatured, of any strength","Ethyl alcohol and other spirits, denatured, of any strength","Ethanol","5","","53"
