Commodity_ID,Policy_ID,CPL_ID,Country_Name,Subnational_Name,CommodityDomain_Name,PolicyDomain_Name,PolicyType_Name,PolicyMeasure_Name,Condition,IndividualPolicy_Name,Policy_Element,CommodityClass_Name,HS_Code,HS_Version,Description,Short_Description,Shared_Group_Code,Second_Generation_Specific,Start_Date,End_Date,Imposed_End_Date,Units,Value,Value_Text,Value_Type,Exemptions,Notes,Measure_Description,Link,Link_pdf,Source,Date_Of_Publication,Title_Of_Notice,Legal_Basis_Name,Benchmark_Tax,Benchmark_Product,Tax_Rate_Biofuel,Tax_Rate_Benchmark,Start_Date_Tax,Benchmark_Link,Benchmark_Link_pdf,Product_Original_HS,Product_Original_Name,Type_Of_Change_Name,Original_Dataset,CommodityDomain_Code,PolicyDomain_Code,country_code,Subnational_Code,PolicyType_Code,PolicyMeasure_Code,Condition_Code,IndividualPolicy_Code,Type_Of_Change_Code,Element_Code,CommodityClass_Code,Metadata_ID,MinAVTariffValue,maxavtariffvalue,CountAVTariff,CountNAVTariff
"212","1039","228","Australia","n.a.","Biofuels","Trade","Import measures","Antidumping measures","n.a.","n.a.","n.a.","Biodiesel","38260010","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Biodiesel, other than goods of 2710 or 3826.00.20","(-) Biodiesel, other than goods of 2710 or 3826.00.20","","","2011-04-18","2016-04-18","","","","","Observed","","Measure applies to 27101180, 27101980, 27109180, 27109980, 38249020, 38249030, 38260010, 38260020.; Date of publication: the date of the last update was used","Imports of Biodiesel from the US are subject to a “Countervailing Duty” and “Dumping Duty” which is expected to be in place for a total of five years. Start AD rate on April 18, 2011; expected until April 2016; Exact CV rate remains confidential.","http://www.adcommission.gov.au/system/documents/Bio-D38260010-120315.pdf; http://www.adcommission.gov.au/system/CurrentMeasures.asp","www.adcommission.gov.au_system_documents_Bio-D38260010-120315.pdf; www.adcommission.gov.au_system_CurrentMeasures.asp.pdf; http://www.adcommission.gov.au/system/documents/INDEX-140314.pdf","Australian Government, Australian Customs and Border Protection Service","2012-01-01","AUSTRALIAN CUSTOMS DUMPING NOTICE NO. 2010/21","Australian Customs and Border Protection Service","","","","","","","","38260010","Biodiesel and mixtures thereof, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals. --- Biodiesel, other than goods of 2710 or 3826.00.20","Introduction","OECD Biofuels","2","1","17","99","2","28","105","999","5.0","99","6","POLICY_17_99_2_6_1_2_28_0","","","",""
"212","1041","3086","Australia","n.a.","Biofuels","Trade","Import measures","Countervailing measures","Imports of biodiesel originating in the United States of America","n.a.","n.a.","Biodiesel","38260010","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Biodiesel, other than goods of 2710 or 3826.00.20","(-) Biodiesel, other than goods of 2710 or 3826.00.20","","","2011-04-18","2016-04-18","","","","","Observed","","Measure applies to 27101180, 27101980, 27109180, 27109980, 38249020, 38249030, 38260010, 38260020.; Date of publication: the date of the last update was used","Imports of Biodiesel from the US are subject to a “Countervailing Duty” and “Dumping Duty” which is expected to be in place for a total of five years. Start CV rate on April 18,2011; expected until April 2016; Exact CV rate remains confidential.","http://www.adcommission.gov.au/system/documents/Bio-D38260010-120315.pdf; http://www.adcommission.gov.au/system/CurrentMeasures.asp","www.adcommission.gov.au_system_documents_Bio-D38260010-120315.pdf; www.adcommission.gov.au_system_CurrentMeasures.asp.pdf; http://www.adcommission.gov.au/system/documents/INDEX-140314.pdf","Australian Government, Australian Customs and Border Protection Service","2012-01-01","AUSTRALIAN CUSTOMS DUMPING NOTICE NO. 2010/21","Australian Customs and Border Protection Service","","","","","","","","38260010","Biodiesel and mixtures thereof, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals. --- Biodiesel, other than goods of 2710 or 3826.00.20","Introduction","OECD Biofuels","2","1","17","99","2","30","96","999","5.0","99","6","POLICY_17_99_2_6_1_2_30_1","","","",""
"213","1042","3087","Australia","n.a.","Biofuels","Trade","Import measures","Countervailing measures","Imports of biodiesel originating in the United States of America","n.a.","n.a.","Biodiesel","38260020","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Mixtures of biodiesel and other substances, not being blends classified to 2710","(-) Mixtures of biodiesel and other substances, not being blends classified to 2710","","","2011-04-18","2016-04-18","","","","","Observed","","Measure applies to 27101180, 27101980, 27109180, 27109980, 38249020, 38249030, 38260010, 38260020.; Date of publication: the date of the last update was used","Imports of Biodiesel from the US are subject to a “Countervailing Duty” and “Dumping Duty” which is expected to be in place for a total of five years. Start CV rate on April 18,2011; expected until April 2016; Exact CV rate remains confidential.","http://www.adcommission.gov.au/system/documents/Bio-D38260010-120315.pdf; http://www.adcommission.gov.au/system/CurrentMeasures.asp","www.adcommission.gov.au_system_documents_Bio-D38260010-120315.pdf; www.adcommission.gov.au_system_CurrentMeasures.asp.pdf; http://www.adcommission.gov.au/system/documents/INDEX-140314.pdf","Australian Government, Australian Customs and Border Protection Service","2012-01-01","AUSTRALIAN CUSTOMS DUMPING NOTICE NO. 2010/21","Australian Customs and Border Protection Service","","","","","","","","38260020","Biodiesel and mixtures thereof, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals. --- Mixtures of biodiesel and other substances, not being blends classified to 2710","Introduction","OECD Biofuels","2","1","17","99","2","30","96","999","5.0","99","6","POLICY_17_99_2_6_1_2_30_1","","","",""
"213","1040","229","Australia","n.a.","Biofuels","Trade","Import measures","Antidumping measures","n.a.","n.a.","n.a.","Biodiesel","38260020","HS2012","Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals----Mixtures of biodiesel and other substances, not being blends classified to 2710","(-) Mixtures of biodiesel and other substances, not being blends classified to 2710","","","2011-04-18","2016-04-18","","","","","Observed","","Measure applies to 27101180, 27101980, 27109180, 27109980, 38249020, 38249030, 38260010, 38260020.; Date of publication: the date of the last update was used","Imports of Biodiesel from the US are subject to a “Countervailing Duty” and “Dumping Duty” which is expected to be in place for a total of five years. Start AD rate on April 18, 2011; expected until April 2016; Exact CV rate remains confidential.","http://www.adcommission.gov.au/system/documents/Bio-D38260010-120315.pdf; http://www.adcommission.gov.au/system/CurrentMeasures.asp","www.adcommission.gov.au_system_documents_Bio-D38260010-120315.pdf; www.adcommission.gov.au_system_CurrentMeasures.asp.pdf; http://www.adcommission.gov.au/system/documents/INDEX-140314.pdf","Australian Government, Australian Customs and Border Protection Service","2012-01-01","AUSTRALIAN CUSTOMS DUMPING NOTICE NO. 2010/21","Australian Customs and Border Protection Service","","","","","","","","38260020","Biodiesel and mixtures thereof, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals. --- Mixtures of biodiesel and other substances, not being blends classified to 2710","Introduction","OECD Biofuels","2","1","17","99","2","28","105","999","5.0","99","6","POLICY_17_99_2_6_1_2_28_0","","","",""
"486","3393","540","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2010-07-01","2013-03-31","","","","","Observed","","Effective July 1, 2010, the HST applies in the participating provinces at the rates: 13% in Ontario, New Brunswick and Newfoundland and Labrador; 15% in Nova Scotia, and 12% in British Columbia. The GST applies in the rest of Canada at the rate of 5%.; Da","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Biodiesel","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","6","POLICY_46_99_2_6_1_1_10_0","","","",""
"486","3392","540","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2008-01-01","2010-06-30","","","","","Observed","","","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Biodiesel","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","6","POLICY_46_99_2_6_1_1_10_0","","","",""
"486","3391","540","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2006-01-01","2007-12-31","","","","","Observed","","","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Biodiesel","Introduction","OECD Biofuels","2","1","46","99","1","10","105","999","5.0","99","6","POLICY_46_99_2_6_1_1_10_0","","","",""
"486","3394","540","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Biodiesel","","","Biodiesel","Biodiesel","","","2013-04-01","","","","","","Observed","","Effective July 1, 2010, the HST applies in the participating provinces at the rates: 13% in Ontario, New Brunswick and Newfoundland and Labrador; 15% in Nova Scotia, and 12% in British Columbia. The GST applies in the rest of Canada at the rate of 5%.; Da","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Biodiesel","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","6","POLICY_46_99_2_6_1_1_10_0","","","",""
"490","3398","541","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Ethanol","","","Ethanol","Ethanol","","","2013-04-01","","","","","","Observed","","Effective July 1, 2010, the HST applies in the participating provinces at the rates: 13% in Ontario, New Brunswick and Newfoundland and Labrador; 15% in Nova Scotia, and 12% in British Columbia. The GST applies in the rest of Canada at the rate of 5%.; Da","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Ethanol","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","5","POLICY_46_99_2_5_1_1_10_0","","","",""
"490","3396","541","Canada","n.a.","Biofuels","Trade","Export measures","VAT tax rebate","n.a.","n.a.","n.a.","Ethanol","","","Ethanol","Ethanol","","","2008-01-01","2010-06-30","","","","","Observed","","","Sales taxes (GST/HST): Goods (other than excisable goods such as beer and tobacco) that are ordinarily GST/HST taxable supplies may be zero-rated if they are exported from Canada. No charge of GST/HST on taxable sales if delivering to outside Canada.","http://www.cra-arc.gc.ca/E/pub/gp/rc4033/README.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/xprtdgds-eng.html; http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/rts-eng.html","www.cra-arc.gc.ca_E_pub_gp_rc4033_rc4033-13e.pdf; Exported goods.pdf; GST_HST rates.pdf","Canada Revenue Agency, Government of Canada","2013-03-28","RC4033 General Application for GST/HST Rebates","Excise Tax Act","Sales taxes (GST/HST)","","","","","","","","Ethanol","n.a.","OECD Biofuels","2","1","46","99","1","10","105","999","6.0","99","5","POLICY_46_99_2_5_1_1_10_0","","","",""
