Commodity_ID,ID_Single,Original_HS_Code,Original_HS_Suffix,Original_HS_Version
"169","91","10019000","","HS2007"
"169","90","10011090","","HS2007"
"320","2824","1106300090","","HS2002"
"320","2823","1106300010","","HS2002"
"320","2822","1106200090","","HS2002"
"320","2821","1106200010","","HS2002"
"320","2820","11041200","","HS2002"
"320","2819","1103200090","","HS2002"
"320","2818","1103200010","","HS2002"
"320","2817","11031300","","HS2002"
"320","2816","11029000","","HS2002"
"320","2815","11022000","","HS2002"
"320","2480","11081900","","HS2002"
"320","2479","11081400","","HS2002"
"320","2478","11081200","","HS2002"
"322","3028","19059090","","HS2002"
"322","3027","19059020","","HS2002"
"322","3026","19059010","","HS2002"
"322","3025","19054000","","HS2002"
"322","3024","19053200","","HS2002"
"322","3023","19053100","","HS2002"
"322","3022","19052090","","HS2002"
"322","3021","19052010","","HS2002"
"322","3020","19042000","","HS2002"
"322","3019","19041000","","HS2002"
"322","3018","19030000","","HS2002"
"322","3017","1902200090","","HS2002"
"322","3016","1902200010","","HS2002"
"322","3015","19021100","","HS2002"
"322","3014","19019090","","HS2002"
"322","3013","1901902000","","HS2002"
"322","3012","1901901000","","HS2002"
"322","3011","1901109090","","HS2002"
"322","2533","1901109020","","HS2002"
"322","2532","1901109010","","HS2002"
"322","2531","1901103000","","HS2002"
"322","2530","1901102000","","HS2002"
"322","2529","1901101090","","HS2002"
"322","2528","1901101010","","HS2002"
"322","2527","1806900090","","HS2002"
"323","3034","3823703000","","HS2002"
"323","3033","3823702000","","HS2002"
"323","3032","3823701000","","HS2002"
"323","3031","38231300","","HS2002"
"323","3030","38231100","","HS2002"
"323","3029","29054500","","HS2002"
"323","2526","15211000","","HS2002"
"323","2525","15200020","","HS2002"
"323","2523","1518000090","","HS2002"
"323","2522","1518000070","","HS2002"
"323","2521","1518000060","","HS2002"
"323","2520","1518000050","","HS2002"
"323","2519","1518000040","","HS2002"
"323","2518","1518000030","","HS2002"
"323","2517","1518000020","","HS2002"
"323","2516","1518000010","","HS2002"
"323","2515","1516200090","","HS2002"
"323","2514","1516200010","","HS2002"
"323","2513","1515909090","","HS2002"
"323","2512","1515909030","","HS2002"
"323","2511","1515909020","","HS2002"
"323","2510","1515909010","","HS2002"
"323","2509","15154090","","HS2002"
"323","2508","15154020","","HS2002"
"323","2507","15154010","","HS2002"
"323","2506","1515300090","","HS2002"
"323","2505","1515300010","","HS2002"
"323","2504","15152990","","HS2002"
"323","2503","15152910","","HS2002"
"323","2501","15151100","","HS2002"
"323","2500","15132120","","HS2002"
"323","2499","15132110","","HS2002"
"323","2498","15122990","","HS2002"
"323","2497","15122910","","HS2002"
"323","2496","15121920","","HS2002"
"323","2495","15121919","","HS2002"
"323","2494","15121911","","HS2002"
"323","2493","15121120","","HS2002"
"323","2492","15121110","","HS2002"
"323","2491","1511900090","","HS2002"
"323","2490","1511900010","","HS2002"
"323","2489","15111000","","HS2002"
"323","2488","15099090","","HS2002"
"323","2487","15099010","","HS2002"
"323","2486","15089000","","HS2002"
"323","2485","15081000","","HS2002"
"323","2484","15079090","","HS2002"
"323","2483","15079019","","HS2002"
"323","2482","15079011","","HS2002"
"323","2481","15071000","","HS2002"
"323","2524","15200010","","HS2002"
"323","2502","15152100","","HS2002"
"489","3098","23024090","","HS2007"
"489","3097","23024012","","HS2007"
"489","3096","23024011","","HS2007"
"489","3095","23023010","","HS2007"
"489","3094","23021000","","HS2007"
"489","3093","19041090","","HS2007"
"489","3092","19041049","","HS2007"
"489","3091","19041041","","HS2007"
"489","3090","19041030","","HS2007"
"489","3089","19041010","","HS2007"
"489","3088","19019059","","HS2007"
"489","3087","19019054","","HS2007"
"489","3086","19019053","","HS2007"
"489","3085","19019052","","HS2007"
"489","3084","19019051","","HS2007"
"489","3083","19019040","","HS2007"
"489","3082","19019039","","HS2007"
"489","3081","19019034","","HS2007"
"489","3080","19019033","","HS2007"
"489","3079","19019032","","HS2007"
"489","3078","19019031","","HS2007"
"489","3077","19019020","02","HS2007"
"489","3076","19019020","01","HS2007"
"489","3075","19019012","","HS2007"
"489","3074","19019011","","HS2007"
"489","3073","12141000","","HS2007"
"489","3072","12092100","","HS2007"
"489","3070","11081990","","HS2007"
"489","3069","11081912","","HS2007"
"489","3068","11081911","","HS2007"
"489","3067","11081200","","HS2007"
"489","3065","11072092","","HS2007"
"489","3064","11072091","","HS2007"
"489","3063","11072012","","HS2007"
"489","3062","11072011","","HS2007"
"489","2853","11071092","","HS2007"
"489","2852","11071091","","HS2007"
"489","2851","11071012","","HS2007"
"489","2850","11071011","","HS2007"
"489","2849","11043090","","HS2007"
"489","2848","11043011","","HS2007"
"489","2847","11042990","","HS2007"
"489","2846","11042922","","HS2007"
"489","2845","11042921","","HS2007"
"489","2844","11042911","","HS2007"
"489","2843","11042300","","HS2007"
"489","2842","11042200","","HS2007"
"489","2841","11041990","","HS2007"
"489","2840","11041922","","HS2007"
"489","2839","11041921","","HS2007"
"489","2838","11041911","","HS2007"
"489","2837","11041200","","HS2007"
"489","2836","11032090","","HS2007"
"489","2835","11032022","","HS2007"
"489","2834","11032021","","HS2007"
"489","2833","11032011","","HS2007"
"489","2832","11031990","03","HS2007"
"489","2831","11031990","02","HS2007"
"489","2830","11031990","01","HS2007"
"489","2829","11031912","","HS2007"
"489","2828","11031911","","HS2007"
"489","2827","11031300","03","HS2007"
"489","2826","11031300","02","HS2007"
"489","2825","11031300","01","HS2007"
"489","2623","23023020","","HS2007"
"489","2576","19041029","","HS2007"
"489","2575","19041021","","HS2007"
"489","2566","11043012","","HS2007"
"489","2565","11042912","","HS2007"
"489","2564","11041912","","HS2007"
"489","2563","11032012","","HS2007"
"489","2562","11031120","","HS2007"
"489","2561","11031110","","HS2007"
"489","2560","11029090","","HS2007"
"489","2559","11029012","","HS2007"
"489","2558","11029011","","HS2007"
"489","2557","11022000","","HS2007"
"489","2556","11021000","","HS2007"
"489","2553","10089000","","HS2007"
"489","2552","10083020","","HS2007"
"489","2551","10083010","","HS2007"
"489","2550","10082000","","HS2007"
"489","2549","10081000","","HS2007"
"489","2548","10059090","","HS2007"
"489","2547","10059010","","HS2007"
"489","2546","10051090","","HS2007"
"489","2545","10051010","","HS2007"
"489","2544","10040020","","HS2007"
"489","2543","10040010","","HS2007"
"489","2542","10030092","","HS2007"
"489","2541","10030091","","HS2007"
"489","2540","10030012","","HS2007"
"489","2539","10030011","","HS2007"
"489","2538","10020000","","HS2007"
"494","2537","10019020","","HS2007"
"494","2535","10011020","","HS2007"
"495","3071","11090010","","HS2007"
"495","3066","11081110","","HS2007"
"495","2568","11090020","","HS2007"
"495","2567","11081120","","HS2007"
"495","2555","11010020","","HS2007"
"495","2554","11010010","","HS2007"
"495","2537","10019020","","HS2007"
"495","2536","10019010","","HS2007"
"495","2535","10011020","","HS2007"
"495","2534","10011010","","HS2007"
"496","2623","23023020","","HS2007"
"496","2622","19059069","","HS2007"
"496","2621","19059063","","HS2007"
"496","2620","19059062","","HS2007"
"496","2619","19059049","","HS2007"
"496","2618","19059045","","HS2007"
